WigleWifi-1.4,appRelease=20190201,model=Kismet,release=2019.02.01.6,device=kismet,display=kismet,board=kismet,brand=kismet
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
E4:D5:3D:55:20:B8,Alan17,[WPA-PSK-CCMP+TKIP][ESS],2021-01-11 09:17:10,1,-87,36.0987777710,-80.2599945068,257.635010,0,WIFI
40:4C:77:76:F4:3C,MySpectrumWiFi3B-2G,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-84,36.0987777710,-80.2599945068,257.635010,0,WIFI
B4:2A:0E:07:EA:12,Shrimp N Grits,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-89,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:77:81:DA:E5:25,WIFIDAE521,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:10,1,-86,36.0987777710,-80.2599945068,257.635010,0,WIFI
70:5A:9E:76:3D:E1,TC8715DDB,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,1,-85,36.0987777710,-80.2599945068,257.635010,0,WIFI
AC:3B:77:D2:3A:7C,casa de squirrel-2G,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,6,-79,36.0987777710,-80.2599945068,257.635010,0,WIFI
AC:3B:77:D2:3A:7C,casa de squirrel-2G,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,6,-79,36.0987777710,-80.2599945068,257.635010,0,WIFI
A8:6B:AD:AE:CB:07,TG1672GE2,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,6,-82,36.0987777710,-80.2599945068,257.635010,0,WIFI
AC:3B:77:D2:3A:7C,casa de squirrel-2G,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,6,-79,36.0987777710,-80.2599945068,257.635010,0,WIFI
AC:3B:77:D2:3A:7C,casa de squirrel-2G,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,6,-80,36.0987777710,-80.2599945068,257.635010,0,WIFI
AC:3B:77:D2:3A:7C,casa de squirrel-2G,[WPA2-PSK-CCMP][ESS],2021-01-11 09:17:12,6,-79,36.0987777710,-80.2599945068,257.635010,0,WIFI
